74.215.127.23 - - [09/Sep/2013:12:46:41 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
24.238.60.106 - - [09/Sep/2013:13:40:44 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0"
24.238.60.106 - - [09/Sep/2013:13:40:44 -0400] "GET /favicon.ico HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0"
66.249.66.18 - - [11/Sep/2013:04:14:20 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.18 - - [11/Sep/2013:04:14:20 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.32.49 - - [11/Sep/2013:07:33:18 -0400] "GET /robots.txt HTTP/1.1" 404 536 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.32.49 - - [11/Sep/2013:07:34:17 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.66.205 - - [11/Sep/2013:11:09:05 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.205 - - [11/Sep/2013:11:09:05 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.205 - - [11/Sep/2013:23:00:30 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.18 - - [12/Sep/2013:06:40:56 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.18 - - [12/Sep/2013:06:40:56 -0400] "GET /favicon.ico HTTP/1.1" 404 509 "-" "Googlebot-Image/1.0"
66.249.66.18 - - [12/Sep/2013:06:43:37 -0400] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 526 "-" "Googlebot-Image/1.0"
66.249.66.18 - - [12/Sep/2013:06:44:21 -0400] "GET /apple-touch-icon.png HTTP/1.1" 404 518 "-" "Googlebot-Image/1.0"
59.61.134.45 - - [12/Sep/2013:10:23:25 -0400] "GET / HTTP/1.1" 200 352 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)"
66.249.73.58 - - [12/Sep/2013:18:31:38 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.58 - - [12/Sep/2013:18:31:38 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.167 - - [13/Sep/2013:06:21:14 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.167 - - [13/Sep/2013:06:21:14 -0400] "GET /apple-touch-icon.png HTTP/1.1" 404 513 "-" "Googlebot-Image/1.0"
66.249.73.167 - - [13/Sep/2013:06:22:04 -0400] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 523 "-" "Googlebot-Image/1.0"
66.249.73.167 - - [13/Sep/2013:06:23:42 -0400] "GET /favicon.ico HTTP/1.1" 404 507 "-" "Googlebot-Image/1.0"
157.55.33.251 - - [13/Sep/2013:12:58:04 -0400] "GET /robots.txt HTTP/1.1" 404 536 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.33.251 - - [13/Sep/2013:12:58:39 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.75.18 - - [13/Sep/2013:16:34:25 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [13/Sep/2013:16:34:25 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.57.133.179 - - [13/Sep/2013:21:22:43 -0400] "GET / HTTP/1.0" 200 315 "http://freecollegeplanner.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11"
66.249.75.18 - - [14/Sep/2013:13:20:01 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [14/Sep/2013:21:22:02 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [14/Sep/2013:23:00:31 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [14/Sep/2013:23:00:31 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [15/Sep/2013:00:48:40 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [15/Sep/2013:10:43:11 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [15/Sep/2013:10:43:11 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [15/Sep/2013:12:31:11 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_1 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.22.7 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [15/Sep/2013:21:16:26 -0400] "GET /apple-touch-icon.png HTTP/1.1" 404 518 "-" "Googlebot-Image/1.0"
66.249.75.18 - - [16/Sep/2013:01:28:17 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
198.27.82.153 - - [16/Sep/2013:06:07:56 -0400] "GET /robots.txt HTTP/1.1" 404 451 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)"
198.27.82.153 - - [16/Sep/2013:06:07:56 -0400] "GET / HTTP/1.1" 200 340 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)"
198.27.82.153 - - [16/Sep/2013:06:07:56 -0400] "GET /favicon.ico HTTP/1.1" 404 451 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)"
198.27.82.153 - - [16/Sep/2013:06:07:56 -0400] "GET /apple-touch-icon.png HTTP/1.1" 404 457 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)"
173.49.24.118 - - [16/Sep/2013:07:05:00 -0400] "GET / HTTP/1.0" 200 315 "-" "Mnogosearch-3.1.21"
5.61.45.143 - - [16/Sep/2013:19:18:47 -0400] "GET / HTTP/1.1" 200 340 "-" "Mozilla/5.0 (X11; CrOS i686 12.433.216) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.105 Safari/534.30"
66.249.75.205 - - [17/Sep/2013:01:59:37 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [17/Sep/2013:01:59:37 -0400] "GET / HTTP/1.1" 200 395 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [17/Sep/2013:04:14:20 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [17/Sep/2013:04:14:20 -0400] "GET / HTTP/1.1" 200 395 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [17/Sep/2013:05:00:45 -0400] "GET /apple-touch-icon.png HTTP/1.1" 404 513 "-" "Googlebot-Image/1.0"
66.249.75.205 - - [17/Sep/2013:05:01:12 -0400] "GET /favicon.ico HTTP/1.1" 404 507 "-" "Googlebot-Image/1.0"
66.249.75.205 - - [17/Sep/2013:19:29:44 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [17/Sep/2013:19:29:44 -0400] "GET / HTTP/1.1" 200 395 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
46.19.136.212 - - [17/Sep/2013:19:45:30 -0400] "GET / HTTP/1.0" 200 315 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
66.249.75.18 - - [18/Sep/2013:12:08:47 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [18/Sep/2013:12:08:47 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
178.137.166.58 - - [18/Sep/2013:13:54:58 -0400] "GET / HTTP/1.0" 200 315 "http://freecollegeplanner.org/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
46.188.2.160 - - [18/Sep/2013:23:37:31 -0400] "GET / HTTP/1.0" 200 315 "http://FREECOLLEGEPLANNER.ORG/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
46.19.136.212 - - [19/Sep/2013:03:40:35 -0400] "GET / HTTP/1.0" 200 315 "http://FREECOLLEGEPLANNER.ORG/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90)"
66.249.75.205 - - [19/Sep/2013:04:34:10 -0400] "GET /robots.txt HTTP/1.1" 404 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.205 - - [19/Sep/2013:04:34:10 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
46.19.136.212 - - [19/Sep/2013:09:20:54 -0400] "GET / HTTP/1.0" 200 315 "http://FREECOLLEGEPLANNER.ORG/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90)"
66.249.75.18 - - [20/Sep/2013:04:14:20 -0400] "GET /robots.txt HTTP/1.1" 404 511 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.18 - - [20/Sep/2013:04:14:20 -0400] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
